,from,date,job_id,job_title,job_company,job_location,job_link,job_type,job_skills,job_edu,job_major,job_keywords,job_text
0,Indeed,07/19/2019,07d314ce1ad4dc4a,Data Scientist,VMware,"Palo Alto, CA 94304",https://www.indeed.com//rc/clk?jk=07d314ce1ad4dc4a,[],"['R', 'SQL', 'Python', 'SAS', 'JavaScript']",[],"['Computer Science', 'Statistics', 'Math', 'Machine Learning', 'Quantitative']","['Regression', 'Real Time']","['', 'real-time', 'product', 'high-performing', 'r', 'index', 'provide', 'please', 'actionable', 'news', 'accommodations', 'providing', 'including', 'champion', 'inc', 'responsibilities:', 'believe', 'behavior', 'feature', 'computer', '2', 'customer', 'respond', 'information', 'americans', 'highly', 'ability', '2019', 'recruiting', 'improvement', 'trends', 'solution', 'correlations', 'live', 'teams', 'analysis', 'finance', 'career', 'scholarship', 'scientist', 'marketing', '1', 'patterns', 'dimension', 'impactful', 'regression', 'disability', 'best', 'saas', '©', 'problems', 'powers', 'role', '+1', 'defining', 'us', 'locations', 'strong', 'applicant-assistance@groups.vmware.com', 'understanding', 'predictive', 'software', 'applications', 'apps', 'possibilities', 'language', 'questions', 'across', 'buy', 'license', 'math', 'initiatives', 'communicating', 'unlock', 'support', ""customers'"", 'test', 'term', 'years', 'miles', 'similar', 'trademarks', 'radius', '&', 'law', 'distill', 'domain', 'solutions', 'company', 'palo', 'deep', 'quality', 'motivated', 'master’s', 'skills', 'units', 'codehouse', 'multi', 'place', 'work', 'programming', 'validation', 'predict', 'vmware', 'craft', 'analytic', 'japanese', '-', 'environments', 'data', '650', 'journey', 'presenting', 'reinforcement', 'terms', 'velocloud', 'enthusiasm', 'digital', 'applying', 'interesting', 'productization', 'propensity', 'optimization', '5', 'site', 'learning', 'forms', 'reduction', 'statistical', 'enterprise', 'map', 'fast!', 'services', 'drive', 'sql', 'take', 'statistics', 'self-service', 'dashboards', 'enabled', 'modeling', 'side-by-side', 'keywords', 'achieve', 'contact', 'grow', 'long', 'like', 'algorithms', 'content', 'organizations', '-846-1911', 'learn', 'python', 'potential', 'extractions', 'related', 'careerhub', 'working', 'experiences', 'r1910712', 'year', 'results', 'deployment', 'b2b', 'cluster', 'solving', 'capabilities', 'culture', 'id', 'prefer', 'supervised', 'create', '15', 'stakeholder', 'life', 'help', 'etc', 'tackling', 'seeking', 'new', 'foundation', 'jobs', 'vmware.com', 'power', 'functions', 'would', 'students', 'opportunities', 'challenging', 'youtube', 'apply', 'blog', 'needs', 'careers', 'twitter', 'environment', 'complex', 'recommend', 'committed', 'vmware?', 'staying', 'javascript', 'iterations', 'equivalent', 'fundamentals', 'highlights', 'linkedin', 'understand', 'cleaning', 'classifiers', 'solid', 'degree', 'glassdoor', 'location', 'insight', 'quantitative', 'instagram', 'analyze', 'process', '50', 'internships', 'measuring', 'act', 'startup', 'repeatable', 'kpis', 'task', 'accessibility', 'experience', '35', 'partner', 'selections', 'efficiently', 'vision-impaired', 'employment', 'job', 'applicants', 'impact', 'latest', 'join', 'developing', 'perpetual', 'business', 'reporting', 'unsupervised', 'products', 'answer', 'using', 'people', 'planet', 'up-to-date', 'analytics', 'enable', 'skills:', 'required', 'executing', 'california', 'transforming', '+', 'main', 'expertise', 'graduates', 'candidate', '25', 'search', 'responsible', 'machine', 'events', 'effectively', 'strategic', 'team', 'development', 'campaigns', 'reaching', 'alto', 'passion', 'interested', 'expert', 'organization', 'design', 'discover', 'lens', 'way', 'facebook', 'science', 'talk', 'models', 'access', 'model', '3', 'skip', 'decision-making', 'transformation', 'stakeholders', 'privacy', 'base', 'sas', 'unlocking', 'atlanta', 'knowledge', 'technology', 'net', 'view', 'technical', 'disabilities', 'use', 'promote']"
1,Indeed,07/19/2019,450e8c1a78c32483,Machine Learning Data Scientist,"Amazon Web Services, Inc.","East Palo Alto, CA",https://www.indeed.com//rc/clk?jk=450e8c1a78c32483,[],"['Linux', 'Python', 'AWS']",[],"['Statistics', 'Math', 'Machine Learning', 'Engineering', 'Quantitative']",['Big Data'],"['amazon.com', 'public', 'mxnet', 'years', 'government', 'product', 'python', 'part', 'employees', 'orientation', 'qualifications', 'projects', 'exciting', 'background', 'customer-facing', 'throughout', '&', '895624', 'experience', 'building', 'evangelize', 'performance', 'tensorflow', 'opportunity', 'clean', 'demo', 'related', 'provide', 'please', 'pytorch', 'description', 'working', 'public-speaking', 'scalable', 'actionable', 'conclusions', 'en-gb', 'solutions', 'devices', 'deliver', 'love', 'amazon’s', 'practices', 'including', 'specialists', 'feedback', 'large', 'company', 'job', 'inc', 'engineering', 'manner', 'review', 'os', 'palo', 'diversity', 'impact', 'developer', 'improvements', 'join', 'details', 'disabled', 'developing', 'field', 'deep', 'ground', 'business', 'quality', 'benefits', 'bachelor’s', 'computer', 'affiliates', 'current', 'vision?', 'results', 'deeplens', '–', 'master’s', 'preferred', 'find', 'requires', 'provisions', 'publish', 'web', 'customer', 'visualization', 'east', 'work', 'information', 'collaborate', 'application', 'scripting', 'train', 'tools', 'culture', 'normalization', 'linux', 'recruiting', 'improvement', 'managers', 'faqs#faqs-for-us-government-employees', 'use', 'employer', 'proceeding', 'data', 'teams', 'principles', 'come', 'aws', 'create', 'help', 'well', 'veteran', 'etc', 'goals', 'machine', 'analysis', 'various', 'techniques', 'present', 'truth', 'scientist', 'events', 'https:', 'jobs', 'tune', 'deploying', 'women', 'interacting', 'sourcing', 'strategic', 'another', 'leadership', 'team', 'deepracer', 'caffe', 'opencv', 'basic', 'disability', 'development', 'acquisition', 'best', 'learning', 'home', 'analytical', 'apply', 'summit', 'important', 'whitepapers', 'blog', '©', 'problems', 'role', 'vision', 'faq', 'careers', 'eu', 'alto', 'blogs', 'identity', 'www.amazon.jobs', 'distributed', 'sample', 'us', 'locations', 'clear', 'proof', 'services', 'checks', 'minority', 'processing', 'drive', 'strategy', 'share', 'science', 'directly', '&times', 'customers', 'models', 'looking', 'model', 'frameworks', 'sets', 'generation', 'engineers', '1996-2019', 'interviewing', 'backed', 'software', 'shape', 'brought', 'transformation', 'big', 'statistics', 'gender', 'proposals', '|', 'familiar', 'applications', 'ensure', 'categories', 'select', 'fine', 'centre', 'architectures', 'training', 'forums', 'id:', 'applied', 'equal', 'privacy', 'coupled', 'language', 'ai', 'fulfilment', 'high-level', 'degree', 'architects', 'program', 'validate', 'military', 'enabled', 'age', 'reference', 'status', 'math', 'ca', 'faqs', 'candidates', 'quantitative', 'following', 'closely', 'iot', '·', 'technology', 'knowledge', 'collection', 'backgrounds', 'analyze', 'colleagues', 'mobile', '3+', 're:invent', 'technical', 'amazon', 'driven', 'concept', 'act', 'like', 'computing', 'database', 'build', 'will:', 'stages', 'hardest', 'liaison', 'inference', 'vision;', 'sexual']"
2,Indeed,07/19/2019,b22a1ff0cf384533,"Data Scientist, Applied Machine Learning - Bay Area",Tempus,"Redwood City, CA",https://www.indeed.com//rc/clk?jk=b22a1ff0cf384533,['Full-Time'],"['D3', 'Linux', 'SQL', 'Python', 'JavaScript', 'HTML', 'CSS', 'AWS']",[],"['Computer Science', 'Statistics', 'Machine Learning', 'Software Engineering', 'Engineering', 'Bioinformatics']",['Regression'],"['', 'state', 'diseases', 'html5', 'sparse', 'years', 'product', 'python', 'proficient', 'powered', 'vast', 'advanced', 'track', 'agile', 'mac', 'qualifications', 'full', 'name', 'providers', 'architecture', 'css3', 'as:', '&', 'experience', 'often', 'building', 'methods', 'things', 'mission', 'novel', 'related', 'extract', 'fast-paced', 'paste', 'peers', 'scipy', 'working', 'employment', 'gradient', 'problem', 'policy', 'finally', 'datasets', 'large', 'shift', 'git', 'engineering', 'job', 'amounts', '\xa0', 'believe', 'website', 'wrangle', 'field', 'deep', 'interaction', 'business', 'willing', 'imaging', 'computer', 'quick', 'results', 'advent', 'd3', 'skills', 'bay', 'unsupervised', 'detection', 'concepts', 'passionate', 'attach', 'visualization', 'plot.ly', 'validity', 'solving', 'findings', 'genomic', 'work', 'programming', 'molecular', 'collaborate', 'scikit-learn', 'within', 'exist', 'cancer', 'insights', 'interrogate', 'tools', 'redwood', 'letter', 'required', 'linux', 'resume', 'measure', '2+', 'pandas', 'direction', 'audiences', '-', 'comfort', 'with:', 'dropbox', 'read', 'platform', 'phone', 'thrive', 'document', 'environments', 'data', 'validating', 'expertise', 'lies', 'teams', 'supervised', 'ensemble', 'aws', 'presenting', 'promise', 'well', 'setting', 'unstructured', 'numpy', 'machine', 'tempus', 'analysis', '\xa0\xa0', 'techniques', 'present', 'cover', 'scientist', 'cv', 'applying', 'research', 'competitions', 'seaborn', 'team', 'prototype', 'boosting', 'trees', 'opportunities', 'interdisciplinary', 'files', 'regression', 'decision', 'minimal', 'dask', 'makeup', 'sequencing', 'development', 'attributes', 'learning', 'analytical', 'ever', 'apply', 'area', 'matplotlib', 'notebooks', 'priorities', 'record', ""we're"", 'environment', 'neural', 'clinical', 'medicine', 'sample', 'group', 'desire', 'design', 'strong', 'way', 'last', 'processing', 'genetic', 'valuable', 'understanding', 'science', 'drive', '*', 'models', 'diverse', 'looking', 'used', 'summarize', 'redefine', 'email', 'javascript', 'nice', 'profile', 'predictive', 'following:', 'software', 'city', 'sql', 'k-means', 'time', 'statistics', 'kaggle.com', 'haves', 'iterations', 'stakeholders', 'precision', 'networks', 'applied', 'easily', 'linkedin', 'privacy', 'understand', 'seamlessly', 'robustness', 'degree', 'treatment', 'greatest', 'ca', 'first', 'scientists', 'location', 'self-driven', 'analyze', 'process', 'infrastructure', 'jupyter', 'communicating', 'stability', 'technical', 'art', 'outstanding', 'drop', 'google', 'kernels', 'build', 'algorithms', 'flask', 'bioinformatics', 'structured', 'pca']"
3,Indeed,07/19/2019,79b31a9620acffa1,Senior Data Scientist,Netflix,"Los Gatos, CA 95032",https://www.indeed.com//rc/clk?jk=79b31a9620acffa1,[],"['R', 'SQL', 'Python']",[],['Engineering'],[],"['', 'continuously', 'embrace', 'approaches', 'e.g', 'importance', 'product', 'remaining', 'python', 'track', 'ways', 'project-focussed', 'projects', 'hands-on', 'posts', 'r', 'opportunity', '&', 'experience', 'evangelize', 'methods', 'building', 'deliverable', 'senior', 'project', 'ensuring', 'partnerships', 'collaborative', 'responsibility', 'data-informed', 'languages', 'working', 'primary', 'requirements', 'everything', 'sitting', 'exposure', 'evolve', 'meets', 'agenda', 'less', 'including', 'partnering', 'much', 'company', 'large', 'decisions', 'resonates', 'engineering', 'user', 'diversity', 'scaling', 'deep', 'emphasizes', 'look', 'gatos', 'heart', 'orchestrate', 'preferences', 'preferred', 'skills', 'methodology', 'communication', 'concepts', 'methodologies', 'visible', 'end-to-end', 'mathematical', 'end', 'active', 'work', 'los', 'context', 'permeates', 'collaborate', 'center', 'bootstrapping', 'amazing', 'highly', 'ability', 'inclusion', 'analytics', 'tools', 'fast', 'culture', 'innovation', 'required', 'position', 'executing', 'memo', 'managers', 'california', '-', 'well-honed', 'intersection', 'audiences', 'bring', '@wearenetflix', 'cross-functional', 'follow', 'platform', 'trade-offs', 'vs', 'choices', 'data', 'globe', 'efficient', 'exactness', 'lies', 'evolving', 'members', 'teams', 'create', 'interleaving', 'prototypes', 'life', 'simplicity', 'setting', 'instincts', 'help', 'search', 'allows', 'set', 'new', 'implementation', 'jobs', 'scientist', 'platforms', 'tangible', 'communicate', 'strategic', 'wearenetflix', 'aspects', 'netflix.com', 'cookie', 'opportunities', 'judgement', 'decision', 'faster', 'wide', 'good', 'freedom', 'stunning', 'designs', 'philosophy', 'correct', 'apply', 'led', 'ramping', 'blog', 'variety', 'impacts', 'testing', 'groups', 'advancing', 'versus', 'unique', 'role', 'link', 'statistical', 'ample', 'maintaining', 'practical', 'listing', 'group', 'us', 'organization', 'locations', 'strong', 'always', 'way', 'performant', 'share', 'science', 'you’ll', 'timelines', 'perspectives', 'great', 'making', 'netflix', 'around', 'sets', 'make', 'engineers', 'responsibilities', 'guiding', 'allow', 'additional', 'sql', 'take', 'hopefully', 'completion', 'familiar', 'researching', 'stakeholders', 'bugs', 'domains', ':', 'tailor', 'nice-to-have', 'applied', 'speed', 'improve', 'privacy', 'ideas', 'explanations', 'experimentation', 'across', 'necessary', 'ramp', 'essential', 'generality', 'scientists', 'etl;', 'identify', 'offers', 'gained', 'integrate', 'technology', 'colleagues', 'infrastructure', 'success', 'interpersonal', 'fascinating', 'guide', 'technical', 'copied', 'ownership', 'sense', 'constantly', 'running', 'quasi', 'benefit', 'production', 'lookout', 'test']"
4,Indeed,07/19/2019,5911c1cc49ba922f,Software Engineer/Data Scientist,Apple,"Santa Clara Valley, CA",https://www.indeed.com//rc/clk?jk=5911c1cc49ba922f,[],"['Python', 'C++', 'C', 'Java', 'Hadoop', 'Spark', 'Cassandra']","['BS', 'MS']","['Computer Science', 'Statistics', 'Math', 'Machine Learning', 'Engineering']","['Classification', 'Big Data']","['', 'product', 'newsroom', 'applicable', 'tensorflow', 'opportunity', 'homepod', 'one', 'pytorch', 'characteristics', 'icloud.com', 'providing', 'practices', 'strengthening', 'engineering', 'inc', 'prior', 'behind', 'united', 'diversity', 'defined', 'mathematics', 'labor', 'feature', 'computer', 'ee', 'add', 'information', 'inspiring', 'ability', 'highly', 'better', 'applies', 'accuracy', '2019', 'national', 'detail', 'desired', 'operates', 'classification', 'reasonable', 'investors', 'entire', 'teams', 'various', 'tv', 'career', 'scientist', 'shop:', 'shows', 'camp', 'also', 'ranking', 'eeo', 'good', 'disability', 'store', 'hadoop', '©', 'redefining', 'role', 'valley', 'practical', 'locations', 'strong', 'footer', 'origin', 'understanding', 'innovative', 'recycling', '\uf8ff', 'protected', 'software', 'accessories', 'gender', 'disclose', 'applications', 'upbeat', 'shop', 'norm', 'drug', 'positive', 'status', 'regard', 'ipod', 'interpersonal', 'roles', 'support', 'industries', 'facets', 'test', 'sexual', 'e.g', 'values', 'opens', 'qualifications', 'orientation', 'throughout', '&', 'veteran', 'law', 'call', 'department', 'mission', 'fast-paced', 'description', 'scalable', 'reseller', 'affirmative', 'in:', 'sex', 'deep', 'applicant', 'quality', 'copyright', 'clustering', 'inquire', 'critically', 'vision?', 'find', 'skills', 'preferred', 'dynamic', 'college', 'work', 'ecosystem', 'programming', 'collaborate', 'amazing', 'found', 'leave', 'submit', '-', 'intersection', 'employer', 'data', 'fair', 'consistent', 'crux', 'terms', 'linear', 'apple.com', 'today', 'applying', 'password?', 'see', 'order', 'site', 'learning', 'area', 'invite', 'rights', 'map', 'participates', ""day's"", 'maintain', 'services', 'accommodation', 'great', 'debug', 'open', 'world', 'discuss', 'extraction', 'id?', 'take', 'big', 'statistics', 'touch', 'bar', 'shopping', 'consider', 'program', 'menu', 'modeling', 'retail', 'popular', 'education', 'contact', 'writing', 'existing', 'discriminate', 'content', 'cupertino', 'cards', 'removed', 'reinvented', 'features', 'learn', 'next', 'python', 'physical', 'back', 'retaliate', 'excellent', 'race', 'related', 'responsibility', 'legally', 'bs', 'working', 'c++', 'policy', 'app', 'music', 'field', 'iphone', 'debugging', 'guidelines', 'free', 'results', 'release', 'requests', 'engineer', 'itunes', '2018', 'inclusion', 'watch', 'account', 'innovation', 'color', 'position', 'id', 'bring', 'adaptable', 'ordinance', 'members', 'create', 'help', 'certain', 'new', 'jobs', 'relevant', 'students', 'states', 'reserved', 'opportunities', 'clearance', 'ipad', 'cassandra', 'dedication', 'ms', 'visit', '200020183', 'criminal', 'something', 'workplace', 'attention', 'environment', 'asset', 'committed', 'favorites', 'frameworks', 'make', 'you’re', 'profile', 'topic', 'bag', 'reuse', 'drug-free', 'equivalent', 'ensure', 'compensation', 'financing', 'industry', 'books', 'improve', 'understand', 'invested', 'chance', 'gift', 'modern', 'closely', 'oriented', 'analyze', 'ready', 'either', 'san', 'e-verify', 'commitment', 'window', 'spark', 'legal', 'mac', 'ways', 'accessibility', 'sales', 'experience', 'building', 'requirements', 'attitude', 'refunds', 'summary', 'technologies', 'employment', 'deliver', 'love', 'want', 'job', 'semi-supervised', 'manner', 'review', 'manage', 'applicants', 'join', 'business', 'genius', 'religion', 'inspect', 'action', 'apple', 'products', 'code', 'people', 'number:', 'analytics', 'close', 'required', 'supplier', 'resume', 'california', 'platform', 'industry-defining', 'expertise', 'changing', 'movies', 'come', 'mental', 'search', 'clara', '26', 'response', 'machine', 'core', 'cycle', 'histories', 'events', 'refurbished', 'jun', 'leadership', 'team', 'vision', 'identity', 'passion', 'posted:', '1-800-my-apple', 'don’t', 'publication', 'design', 'processing', 'qualified', 'science', 'c', 'additional', 'sign', 'trip', 'francisco', 'equal', 'privacy', 'forgot', 'java', ""here's"", 'output', 'algebra', 'knowledge', 'without', 'success', 'mobile', 'view', 'technical', 'disabilities', 'santa', 'key', 'build', 'use']"
5,Indeed,07/19/2019,f41ac4767a23fce5,AI/Machine Learning Intern,Synaptics,"San Jose, CA 95131 (North Valley area)",https://www.indeed.com//rc/clk?jk=f41ac4767a23fce5,[],['JavaScript'],[],[],[],"['', 'viewed', 'take', 'time', 'available', 'web', 'powered', 'cannot', 'full', 'browser', 'turn', 'loading..', 'opportunities', 'application', 'refresh', 'site', 'please', 'turned', 'click', 'longer', 'job', 'either', 'main', 'page', 'skip', 'advantage', 'content', 'successfactors', 'deleted', 'javascript']"
6,Indeed,07/19/2019,b1374c802f832a37,Data Scientist - (B4),Applied Materials Inc.,"Santa Clara, CA",https://www.indeed.com//rc/clk?jk=b1374c802f832a37,[],[],[],[],[],['']
7,Indeed,07/19/2019,4aa348613b6dfddf,Data Scientist (2 positions),San Jose State University,"San Jose, CA 95112 (Downtown area)",https://www.indeed.com//rc/clk?jk=4aa348613b6dfddf,[],[],[],[],[],"['', 'https:', 'csu', 'enter', '*description', 'sjsu', 'add', 'popup', 'ascending', 'pt_portal_util_js_min_1.js', 'self', 'hsjprdf', 'related', 'order', 'home', 'please', 'close', 'prompt', 'menu', 'menu:', 'recent', 'unique', 'description', 'solutions', 'click', 'refine', 'careers', 'mods', 'mrs', 'service', 'favorite', '\xa0', 'main', 'cs', 'campus', 'sort', 'favorites', 'window', 'content', 'search', 'tech', 'new', 'results', 'sorted', 'sign', 'cmshr.hr.sjsu.edu', 'cache_85513']"
8,Indeed,07/19/2019,8963c0e206430a07,Intern - Quantum Machine Learning for Quantum Computing,KBR,"Moffett Field, CA",https://www.indeed.com//rc/clk?jk=8963c0e206430a07,['Contract'],[],[],[],[],"['', 'opportunities', 'kbr', 'contract', 'careers', 'vehicles', 'www.kbr.com', 'content', 'skip', 'search', 'menu', 'career']"
9,Indeed,07/19/2019,d49ca5c416b07bdc,"Analyst, Product Data Science",Paypal,"San Jose, CA 95131 (North Valley area)",https://www.indeed.com//rc/clk?jk=d49ca5c416b07bdc,[],[],[],[],[],['']
