,from,date,job_id,job_title,job_company,job_location,job_link
0,Indeed,07/19/2019,07d314ce1ad4dc4a,Data Scientist,VMware,"Palo Alto, CA 94304",https://www.indeed.com//rc/clk?jk=07d314ce1ad4dc4a
1,Indeed,07/19/2019,450e8c1a78c32483,Machine Learning Data Scientist,"Amazon Web Services, Inc.","East Palo Alto, CA",https://www.indeed.com//rc/clk?jk=450e8c1a78c32483
2,Indeed,07/19/2019,b22a1ff0cf384533,"Data Scientist, Applied Machine Learning - Bay Area",Tempus,"Redwood City, CA",https://www.indeed.com//rc/clk?jk=b22a1ff0cf384533
3,Indeed,07/19/2019,79b31a9620acffa1,Senior Data Scientist,Netflix,"Los Gatos, CA 95032",https://www.indeed.com//rc/clk?jk=79b31a9620acffa1
4,Indeed,07/19/2019,5911c1cc49ba922f,Software Engineer/Data Scientist,Apple,"Santa Clara Valley, CA",https://www.indeed.com//rc/clk?jk=5911c1cc49ba922f
5,Indeed,07/19/2019,f41ac4767a23fce5,AI/Machine Learning Intern,Synaptics,"San Jose, CA 95131 (North Valley area)",https://www.indeed.com//rc/clk?jk=f41ac4767a23fce5
6,Indeed,07/19/2019,b1374c802f832a37,Data Scientist - (B4),Applied Materials Inc.,"Santa Clara, CA",https://www.indeed.com//rc/clk?jk=b1374c802f832a37
7,Indeed,07/19/2019,4aa348613b6dfddf,Data Scientist (2 positions),San Jose State University,"San Jose, CA 95112 (Downtown area)",https://www.indeed.com//rc/clk?jk=4aa348613b6dfddf
8,Indeed,07/19/2019,8963c0e206430a07,Intern - Quantum Machine Learning for Quantum Computing,KBR,"Moffett Field, CA",https://www.indeed.com//rc/clk?jk=8963c0e206430a07
9,Indeed,07/19/2019,d49ca5c416b07bdc,"Analyst, Product Data Science",Paypal,"San Jose, CA 95131 (North Valley area)",https://www.indeed.com//rc/clk?jk=d49ca5c416b07bdc
10,Indeed,07/19/2019,7a0248b69dd7f748,Data Scientist,decormatters,"Milpitas, CA",https://www.indeed.com//rc/clk?jk=7a0248b69dd7f748
